,inputs,preds,golds
26,modern2poem: 孩 子 提 壶 盛 满 水 汤 。,generated:,"童 稚 携 壶 浆 ，
"
27,modern2poem: 时 届 暮 春 白 雪 飘 飞 归 来 塞 外 ，,generated:,"三 春 白 雪 归 青 冢 ，
"
28,modern2poem: 天 色 阴 沉 ， 看 样 子 晚 上 即 将 要 下 雪 ， 能 否 留 下 与 我 共 饮 一 杯 ？,generated:,"晚 来 天 欲 雪 ，
"
29,modern2poem: 我 给 你 们 唱 一 首 歌 ，,"generated:“我给你们唱一首歌,","与 君 歌 一 曲 ，
"
30,modern2poem: 人 生 中 多 少 次 伤 怀 往 事 ， 山 形 依 然 不 变 靠 着 寒 流 。,generated:,"人 世 几 回 伤 往 事 ， 山 形 依 旧 枕 寒 流 。
"
31,modern2poem: 何 必 去 寻 找 世 外 的 仙 境 ，,generated:,"何 用 别 寻 方 外 去 ，
"
32,modern2poem: 我 担 忧 什 么 呢 ！,generated:,"吾 何 患 焉 ！
"
33,modern2poem: 希 望 能 随 着 风 一 直 陪 着 你 到 夜 郎 以 西 。,generated:,"随 风 直 到 夜 郎 西 。
"
34,modern2poem: 放 牛 的 孩 子 横 坐 在 牛 背 上 ， 随 意 地 用 短 笛 吹 奏 着 不 成 调 的 的 乐 曲 。,generated:,"牧 童 归 去 横 牛 背 ， 短 笛 无 腔 信 口 吹 。
"
35,modern2poem: 欲 走 还 留 之 间 ，,generated:,"请 君 试 问 东 流 水 ，
"
36,modern2poem: 老 朋 友 向 我 频 频 挥 手 ， 告 别 了 黄 鹤 楼 ， 在 这 柳 絮 如 烟 、 繁 花 似 锦 的 阳 春 三 月 去 扬 州 远 游 。,generated:,"故 人 西 辞 黄 鹤 楼 ， 烟 花 三 月 下 扬 州 。
"
37,modern2poem: 胡 琴 琵 琶 羌 笛 合 奏 来 助 兴 。,generated:,"胡 琴 琵 琶 与 羌 笛 。
"
38,modern2poem: 天 地 之 间 有 一 股 堂 堂 正 气 ， 它 赋 予 万 物 而 变 化 为 各 种 体 形 。,generated:,"天 地 有 正 气 ， 杂 然 赋 流 形 。
"
39,modern2poem: 白 雪 似 的 杨 花 飘 落 覆 盖 浮 萍 ，,generated:,"杨 花 雪 落 覆 白 苹 ，
"
40,modern2poem: 我 和 从 弟 在 南 斋 高 卧 的 时 候 ， 掀 开 窗 帘 玩 赏 那 初 升 的 玉 兔 。,generated:,"高 卧 南 斋 时 ， 开 帷 月 初 吐 。
"
41,modern2poem: 日 暮 时 投 宿 石 壕 村 ， 夜 里 有 差 役 来 强 征 兵 。,generated:,"暮 投 石 壕 村 ， 有 吏 夜 捉 人 。
"
42,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ，,generated:,"劝 君 更 尽 一 杯 酒 ，
"
43,modern2poem: 听 说 国 家 边 境 军 情 紧 急 ， 侵 略 者 一 次 又 一 次 进 犯 内 地 。,generated:,"边 城 多 警 急 ， 虏 骑 数 迁 移 。
"
44,modern2poem: 建 国 与 吴 魏 三 分 天 下 成 鼎 足 ，,generated:,"势 分 三 足 鼎 ，
"
45,modern2poem: 中 央 主 峰 把 终 南 东 西 隔 开 ，,generated:,"分 野 中 峰 变 ，
"
46,modern2poem: 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,generated:,"西 出 阳 关 无 故 人 。
"
47,modern2poem: 争 着 将 往 日 的 情 谊 诉 说 。,generated:,"心 念 旧 恩 。
"
48,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ， 只 有 长 江 奔 流 从 古 到 今 。,generated:,"惆 怅 南 朝 事 ， 长 江 独 至 今 。
"
49,modern2poem: 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,generated:,"浮 萍 一 道 开 。
"
50,modern2poem: 用 我 的 一 种 气 可 以 敌 过 那 七 种 气 ，,generated:,"以 一 敌 七 ，
"
51,modern2poem: 一 座 高 桥 隔 着 云 烟 出 现 ， 在 岩 石 的 西 畔 询 问 渔 船 。,generated:,"隐 隐 飞 桥 隔 野 烟 ， 石 矶 西 畔 问 渔 船 。
"
52,modern2poem: 轮 台 城 头 夜 里 吹 起 号 角 ，,generated:,"轮 台 城 头 夜 吹 角 ，
"
53,modern2poem: 眼 下 我 心 情 不 佳 是 思 念 岳 阳 ，,generated:,"今 我 不 乐 思 岳 阳 ，
"
54,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ， 莲 叶 轻 摇 想 是 上 游 荡 下 轻 舟 。,generated:,"竹 喧 归 浣 女 ， 莲 动 下 渔 舟 。
"
55,modern2poem: 将 帅 们 坐 在 车 上 ， 士 兵 们 也 靠 它 隐 蔽 遮 挡 。,generated:,"君 子 所 依 ， 小 人 所 腓 。
"
56,modern2poem: 参 差 不 齐 的 荇 菜 ，,generated:,"参 差 荇 菜 ，
"
57,modern2poem: 吐 蕃 族 至 今 牧 马 只 敢 远 望 ，,generated:,"至 今 窥 牧 马 ，
"
58,modern2poem: 不 然 就 会 步 陈 后 主 亡 国 后 尘 。,generated:,"景 阳 宫 井 又 何 人 。
"
59,modern2poem: 老 夫 不 曾 为 客 扫 过 花 径 ， 今 天 才 为 您 扫 ， 这 柴 门 不 曾 为 客 开 过 ， 今 天 为 您 打 开 。,"generated:老夫 不 为 客 扫,,,, 。","花 径 不 曾 缘 客 扫 ， 蓬 门 今 始 为 君 开 。
"
60,modern2poem: 当 你 怀 念 家 园 盼 归 之 日 ， 早 就 思 念 你 而 愁 肠 百 结 。,generated:,"当 君 怀 归 日 ， 是 妾 断 肠 时 。
"
61,modern2poem: 年 年 战 死 的 尸 骨 埋 葬 于 荒 野 ，,generated:,"年 年 战 骨 埋 荒 外 ，
"
62,modern2poem: 喝 醉 酒 后 还 要 和 着 金 甲 跳 舞 ，,generated:,"醉 和 金 甲 舞 ，
"
63,modern2poem: 君 王 思 念 贵 妃 的 情 意 令 他 感 动 ， 于 是 道 士 尽 力 去 寻 找 贵 妃 的 魂 魄 。,generated:,"为 感 君 王 辗 转 思 ， 遂 教 方 士 殷 勤 觅 。
"
64,modern2poem: 你 北 方 的 住 处 像 春 天 般 遥 远 ；,generated:,"北 斗 兼 春 远 ，
"
65,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ，,generated:,"惆 怅 南 朝 事 ，
"
66,modern2poem: 织 女 正 摆 动 柔 长 洁 白 的 双 手 ，,generated:,"纤 纤 擢 素 手 ，
"
67,modern2poem: 一 行 秋 雁 高 高 地 掠 过 了 星 空 ，,generated:,"星 河 秋 一 雁 ，
"
68,modern2poem: 长 信 宫 中 惟 有 秋 月 尚 明 ， 昭 阳 殿 下 响 起 捣 衣 声 声 。,generated:,"长 信 宫 中 秋 月 明 ， 昭 阳 殿 下 捣 衣 声 。
"
69,modern2poem: 荒 诞 之 事 却 为 人 们 追 逐 。,generated:,"妄 迹 世 所 逐 。
"
70,modern2poem: 真 可 怜 呵 那 无 定 河 边 成 堆 的 白 骨 ， 还 是 少 妇 们 梦 中 相 依 相 伴 的 丈 夫 。,generated:,"可 怜 无 定 河 边 骨 ， 犹 是 春 闺 梦 里 人 ！
"
71,modern2poem: 万 里 晴 空 ， 一 只 鹤 凌 云 飞 起 ， 就 引 发 我 的 诗 兴 到 了 蓝 天 上 了 。,generated:,"晴 空 一 鹤 排 云 上 ， 便 引 诗 情 到 碧 霄 。
"
72,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ，,generated:,"竹 喧 归 浣 女 ，
"
73,modern2poem: 停 住 马 饮 酒 询 问 被 贬 的 去 处 。,generated:,"驻 马 衔 杯 问 谪 居 。
"
74,modern2poem: 他 不 知 道 怎 么 掩 藏 踪 迹 ， 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,generated:,"不 解 藏 踪 迹 ， 浮 萍 一 道 开 。
"
75,modern2poem: 经 过 了 近 十 年 的 战 乱 流 离 ， 长 大 成 人 后 竟 然 意 外 相 逢 。,generated:,"十 年 离 乱 后 ， 长 大 一 相 逢 。
"
76,modern2poem: 只 恨 春 宵 太 短 一 觉 就 睡 到 太 阳 高 高 升 起 ，,generated:,"春 宵 苦 短 日 高 起 ，
"
77,modern2poem: 我 虽 然 胸 怀 匡 国 之 志 ， 也 有 郭 元 振 《 宝 剑 篇 》 那 样 充 满 豪 气 的 诗 篇 ， 但 却 不 遇 明 主 ， 长 期 羁 旅 在 外 虚 度 华 年 。,generated:,"凄 凉 宝 剑 篇 ， 羁 泊 欲 穷 年 。
"
78,modern2poem: 刚 刚 反 复 吟 诵 你 送 我 的 佳 句 ， 不 觉 乌 鸦 呱 呱 啼 叫 天 已 渐 亮 。,generated:,"向 来 吟 秀 句 ， 不 觉 已 鸣 鸦 。
"
79,modern2poem: 杨 家 门 户 生 光 彩 令 人 羡 慕 又 向 往 。,generated:,"可 怜 光 彩 生 门 户 。
"
80,modern2poem: 曾 经 为 我 设 计 挖 掘 石 鼓 坑 窝 。,generated:,"为 我 度 量 掘 臼 科 。
"
81,modern2poem: 奏 起 琴 瑟 来 亲 近 她 。,generated:,"琴 瑟 友 之 。
"
82,modern2poem: 下 看 飞 鸟 屈 指 可 数 ，,generated:,"下 窥 指 高 鸟 ，
"
83,modern2poem: 难 道 丹 桔 就 不 成 阴 ？,generated:,"此 木 岂 无 阴 ？
"
84,modern2poem: 老 牛 和 骏 马 被 关 在 一 起 共 用 一 槽 ，,generated:,"牛 骥 同 一 皂 ，
"
85,modern2poem: 只 有 狂 雷 炸 响 般 的 巨 大 力 量 才 能 使 中 国 大 地 发 出 勃 勃 生 机 ，,generated:,"九 州 生 气 恃 风 雷 ，
"
86,modern2poem: 傍 晚 辕 门 前 大 雪 落 个 不 停 ，,generated:,"纷 纷 暮 雪 下 辕 门 ，
"
87,modern2poem: 彼 此 久 别 重 逢 谈 心 宴 饮 ，,generated:,"契 阔 谈 讌 ，
"
88,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ， 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,generated:,"劝 君 更 尽 一 杯 酒 ， 西 出 阳 关 无 故 人 。
"
89,modern2poem: 新 年 来 临 思 乡 之 心 更 切 ， 独 立 天 边 不 禁 热 泪 横 流 。,generated:,"乡 心 新 岁 切 ， 天 畔 独 潸 然 。
"
90,modern2poem: 为 国 家 解 危 难 奋 勇 献 身 ，,generated:,"捐 躯 赴 国 难 ，
"
91,modern2poem: 君 臣 共 同 享 受 着 礼 仪 和 祭 礼 。,generated:,"一 体 君 臣 祭 祀 同 。
"
92,modern2poem: 它 赋 予 万 物 而 变 化 为 各 种 体 形 。,generated:诗歌 它赋予万物 并 变 为 各种 体 形 。,"杂 然 赋 流 形 。
"
93,modern2poem: 豆 苗 采 了 又 采 ， 薇 菜 的 茎 叶 变 老 了 。,generated:,"采 薇 采 薇 ， 薇 亦 刚 止 。
"
94,modern2poem: 佛 经 真 谛 世 人 并 无 领 悟 ，,generated:,"真 源 了 无 取 ，
"
95,modern2poem: 微 风 吹 拂 着 江 岸 的 细 草 ， 那 立 着 高 高 桅 杆 的 小 船 在 夜 里 孤 零 地 停 泊 着 。,generated:,"细 草 微 风 岸 ， 危 樯 独 夜 舟 。
"
96,modern2poem: 昭 阳 殿 里 的 姻 缘 早 已 隔 断 ， 蓬 莱 宫 中 的 孤 寂 时 间 还 很 漫 长 。,generated:,"昭 阳 殿 里 恩 爱 绝 ， 蓬 莱 宫 中 日 月 长 。
"
97,modern2poem: 丁 大 约 定 今 晚 来 寺 住 宿 ，,generated:,"之 子 期 宿 来 ，
"
98,modern2poem: 他 的 琴 声 一 响 万 物 寂 静 ，,generated:,"一 声 已 动 物 皆 静 ，
"
99,modern2poem: 山 与 天 相 接 的 地 方 缭 绕 着 阵 阵 云 烟 ， 从 竹 林 的 缝 隙 里 看 洒 落 下 余 晖 的 夕 阳 。,generated:,"山 际 见 来 烟 ， 竹 中 窥 落 日 。
"
100,modern2poem: 让 我 们 共 同 在 这 烛 光 下 叙 谈 。,generated:,"共 此 灯 烛 光 。
"
101,modern2poem: 古 庙 里 杉 松 树 上 水 鹤 做 了 巢 ，,generated:,"古 庙 杉 松 巢 水 鹤 ，
"
102,modern2poem: 里 面 有 虢 国 和 秦 国 二 位 夫 人 。,generated:,"赐 名 大 国 虢 与 秦 。
"
103,modern2poem: 阵 阵 霉 味 逼 人 ，,generated:,"陈 陈 逼 人 ，
"
104,modern2poem: 车 辆 隆 隆 响 ， 战 马 萧 萧 鸣 ， 出 征 士 兵 弓 箭 各 自 佩 在 腰 。,generated:,"车 辚 辚 ， 马 萧 萧 ， 行 人 弓 箭 各 在 腰 。
"
105,modern2poem: 井 畔 梧 桐 在 秋 夜 的 风 中 抖 动 ，,generated:,"清 秋 幕 府 井 梧 寒 ，
"
106,modern2poem: 心 明 无 须 恃 荣 宠 。,generated:,"临 宠 不 忒 。
"
107,modern2poem: 秋 日 青 枫 江 上 孤 帆 远 远 飘 去 ，,generated:,"青 枫 江 上 秋 帆 远 ，
"
108,modern2poem: 夜 里 吹 来 暖 暖 南 风 ，,generated:,"夜 来 南 风 起 ，
"
109,modern2poem: 为 什 么 要 隐 居 清 高 自 比 云 月 ？,generated:,"何 用 孤 高 比 云 月 ？
"
110,modern2poem: 流 放 岭 南 与 亲 人 断 绝 了 音 信 ， 熬 过 了 冬 天 又 经 历 一 个 新 春 。,generated:,"岭 外 音 书 断 ， 经 冬 复 历 春 。
"
111,modern2poem: 她 说 ： “ 我 是 公 孙 大 娘 的 学 生 ” 。,"generated:“我 是 公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","曰 ： “ 余 公 孙 大 娘 弟 子 也 。
"
112,modern2poem: 急 取 灯 火 瞧 仔 细 。,generated:,"遽 而 求 火 。
"
113,modern2poem: 人 生 中 多 少 次 伤 怀 往 事 ，,generated:,"人 世 几 回 伤 往 事 ，
"
114,modern2poem: 他 们 再 不 敢 南 来 越 过 临 洮 。,generated:,"不 敢 过 临 洮 。
"
115,modern2poem: 生 时 应 当 做 人 中 豪 杰 ， 死 后 也 要 做 鬼 中 英 雄 。,generated:,"生 当 作 人 杰 ， 死 亦 为 鬼 雄 。
"
116,modern2poem: 借 问 当 地 之 人 何 处 买 酒 浇 愁 ？,generated:,"借 问 酒 家 何 处 有 ，
"
117,modern2poem: 我 在 南 山 下 种 植 豆 子 ，,generated:,"种 豆 南 山 下 ，
"
118,modern2poem: 春 风 吹 开 桃 李 花 物 是 人 非 不 胜 悲 ， 秋 雨 滴 落 梧 桐 叶 场 面 寂 寞 更 惨 凄 。,generated:,"春 风 桃 李 花 开 日 ， 秋 雨 梧 桐 叶 落 时 。
"
119,modern2poem: 山 月 高 照 正 好 弄 弦 弹 琴 。,generated:,"山 月 照 弹 琴 。
"
120,modern2poem: 在 世 上 活 着 贵 在 韬 光 养 晦 ，,generated:,"含 光 混 世 贵 无 名 ，
"
121,modern2poem: 鸿 鹄 已 高 飞 远 空 在 日 月 之 间 ， 青 枫 树 叶 已 变 红 秋 霜 已 下 降 。,generated:,"鸿 飞 冥 冥 日 月 白 ， 青 枫 叶 赤 天 雨 霜 。
"
122,modern2poem: 各 自 畅 饮 悲 欢 。,generated:,"别 意 与 之 谁 短 长 。
"
123,modern2poem: 有 人 在 屋 檐 下 烧 柴 火 做 饭 ，,generated:,"檐 阴 薪 爨 ，
"
124,modern2poem: 山 与 天 相 接 的 地 方 缭 绕 着 阵 阵 云 烟 ，,generated:,"山 际 见 来 烟 ，
"
125,modern2poem: 树 皮 洁 白 润 滑 树 干 有 四 十 围 ，,generated:,"霜 皮 溜 雨 四 十 围 ，
"
126,modern2poem: 黄 云 海 戍 迷 离 不 见 。,generated:,"黄 云 海 戍 迷 。
"
127,modern2poem: 这 里 就 是 历 代 征 战 之 地 ，,generated:『里 就 是 代 征 战 地 。,"由 来 征 战 地 ，
"
128,modern2poem: 湖 中 的 蛟 龙 出 没 猩 鼯 哀 号 。,generated:,"蛟 龙 出 没 猩 鼯 号 。
"
129,modern2poem: 山 形 依 然 不 变 靠 着 寒 流 。,generated:,"山 形 依 旧 枕 寒 流 。
"
130,modern2poem: 北 归 大 雁 正 翱 翔 云 天 。,generated:,"归 雁 入 胡 天 。
"
131,modern2poem: 可 惜 的 是 春 天 已 过 了 一 半 自 己 却 还 不 能 回 家 。,generated:,"可 怜 春 半 不 还 家 。
"
132,modern2poem: 黄 昏 时 来 到 空 潭 隐 蔽 之 地 ，,generated:,"薄 暮 空 潭 曲 ，
"
133,modern2poem: 望 你 孝 敬 长 辈 遵 守 妇 道 ，,generated:,"孝 恭 遵 妇 道 ，
"
134,modern2poem: 在 山 林 中 隐 居 了 二 十 年 。,generated:,"山 林 二 十 年 。
"
135,modern2poem: 周 朝 政 治 衰 败 全 国 动 荡 不 安 ，,generated:,"周 纲 凌 迟 四 海 沸 ，
"
136,modern2poem: 那 黄 河 之 水 犹 如 从 天 上 倾 泻 而 来 ，,generated:,"黄 河 之 水 天 上 来 ，
"
137,modern2poem: 近 处 松 州 一 带 也 还 驻 扎 着 朝 廷 的 军 队 。,generated:,"松 州 犹 驻 殿 前 军 。
"
138,modern2poem: 从 山 下 走 上 去 足 有 三 十 里 。,generated:,"直 上 三 十 里 。
"
139,modern2poem: 丞 相 的 祠 庙 就 在 先 王 庙 临 近 ，,generated:,"武 侯 祠 堂 常 邻 近 ，
"
140,modern2poem: 半 山 腰 喷 泄 云 雾 迷 迷 茫 茫 ， 虽 然 有 绝 顶 谁 能 登 上 顶 峰 。,generated:,"喷 云 泄 雾 藏 半 腹 ， 虽 有 绝 顶 谁 能 穷 ？
"
141,modern2poem: 座 旁 的 听 者 个 个 感 慨 叹 息 ，,generated:,"傍 邻 闻 者 多 叹 息 ，
"
142,modern2poem: 当 你 怀 念 家 园 盼 归 之 日 ，,generated:,"当 君 怀 归 日 ，
"
143,modern2poem: 新 雨 中 草 色 多 么 青 翠 葱 绿 ， 晚 风 将 松 涛 声 送 进 窗 户 里 。,generated:,"草 色 新 雨 中 ， 松 声 晚 窗 里 。
"
144,modern2poem: 听 说 国 家 边 境 军 情 紧 急 ，,generated:,"边 城 多 警 急 ，
"
145,modern2poem: 还 是 少 妇 们 梦 中 相 依 相 伴 的 丈 夫 。,generated:,"犹 是 春 闺 梦 里 人 ！
"
146,modern2poem: 跋 涉 在 道 路 崎 岖 又 遥 远 的 三 巴 路 上 ，,generated:,"迢 递 三 巴 路 ，
"
147,modern2poem: 村 民 们 衣 冠 简 朴 古 代 风 气 仍 然 保 存 。,generated:,"衣 冠 简 朴 古 风 存 。
"
148,modern2poem: 大 厦 如 若 倾 倒 要 有 梁 栋 支 撑 ，,generated:,"大 厦 如 倾 要 梁 栋 ，
"
149,modern2poem: 西 起 荆 门 往 东 与 九 江 相 通 。,generated:,"荆 门 九 派 通 。
"
150,modern2poem: 帝 尧 之 世 称 陶 唐 。,generated:,"爰 自 陶 唐 。
"
151,modern2poem: 但 是 这 些 又 怎 比 得 上 青 山 绿 水 的 道 路 上 ，,generated:“但 此 何 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其 其,"何 如 山 水 路 ，
"
152,modern2poem: 近 处 篱 笆 边 都 种 上 了 菊 花 ， 秋 天 到 了 却 尚 未 见 它 开 放 。,generated:,"近 种 篱 边 菊 ， 秋 来 未 著 花 。
"
153,modern2poem: 鲜 红 的 嘴 唇 绰 约 的 舞 姿 ， 都 已 逝 去 ， 到 了 晚 年 ， 有 弟 子 把 艺 术 继 承 发 扬 。,generated:,"绛 唇 珠 袖 两 寂 寞 ， 晚 有 弟 子 传 芬 芳 。
"
154,modern2poem: 潘 岳 悼 念 亡 妻 只 是 徒 然 悲 鸣 。,generated:,"潘 岳 悼 亡 犹 费 词 。
"
155,modern2poem: 阳 光 照 耀 下 的 汉 阳 树 木 清 晰 可 见 ， 鹦 鹉 洲 上 有 一 片 碧 绿 的 芳 草 覆 盖 。,generated:,"晴 川 历 历 汉 阳 树 ， 芳 草 萋 萋 鹦 鹉 洲 。
"
156,modern2poem: 秋 日 青 枫 江 上 孤 帆 远 远 飘 去 ， 白 帝 城 边 黄 叶 飘 零 古 木 稀 疏 。,generated:,"青 枫 江 上 秋 帆 远 ， 白 帝 城 边 古 木 疏 。
"
157,modern2poem: 我 家 祖 先 甚 遥 远 ， 帝 尧 之 世 称 陶 唐 。,generated:,"悠 悠 我 祖 ， 爰 自 陶 唐 。
"
158,modern2poem: 登 高 远 望 天 地 间 壮 观 景 象 ，,generated:,"登 高 壮 观 天 地 间 ，
"
159,modern2poem: 武 皇 开 拓 边 疆 的 念 头 还 没 停 止 。,generated:,"武 皇 开 边 意 未 已 。
"
160,modern2poem: 江 上 的 月 色 分 外 清 明 ， 胡 雁 从 夜 空 飞 掠 而 过 。,generated:,"江 上 月 明 胡 雁 过 ，
"
161,modern2poem: 游 子 像 一 片 白 云 缓 缓 地 离 去 ， 只 剩 下 思 妇 站 在 离 别 的 青 枫 浦 不 胜 忧 愁 。,generated:,"白 云 一 片 去 悠 悠 ， 青 枫 浦 上 不 胜 愁 。
"
162,modern2poem: 明 亮 的 月 光 洒 在 床 前 的 窗 户 纸 上 ，,generated:,"床 前 明 月 光 ，
"
163,modern2poem: 都 把 旧 的 桃 符 取 下 换 上 新 的 桃 符 。,generated:,"总 把 新 桃 换 旧 符 。
"
164,modern2poem: 世 事 渺 茫 自 我 的 命 运 怎 能 预 料 ， 只 有 黯 然 的 春 愁 让 我 孤 枕 难 眠 。,generated:,"世 事 茫 茫 难 自 料 ， 春 愁 黯 黯 独 成 眠 。
"
165,modern2poem: 听 说 你 怀 有 二 心 ，,generated:,"闻 君 有 两 意 ，
"
166,modern2poem: 后 来 却 成 了 吴 王 宫 里 的 爱 妃 。,generated:,"暮 作 吴 宫 妃 。
"
167,modern2poem: 上 战 场 面 对 着 刀 山 剑 树 ， 从 不 将 安 和 危 放 在 心 里 。,generated:,"弃 身 锋 刃 端 ， 性 命 安 可 怀 ？
"
168,modern2poem: 历 世 不 绝 显 荣 光 。,generated:,"历 世 重 光 。
"
169,modern2poem: 周 宣 王 发 愤 起 兵 挥 起 了 天 戈 。,generated:,"宣 王 愤 起 挥 天 戈 。
"
170,modern2poem: 皇 恩 浩 荡 如 果 准 许 留 在 太 学 ，,generated:,"圣 恩 若 许 留 太 学 ，
"
171,modern2poem: 怎 堪 忍 受 正 当 玄 鬓 盛 年 的 好 时 光 ， 独 自 吟 诵 白 头 吟 这 么 哀 怨 的 诗 行 。,generated:,"不 堪 玄 鬓 影 ， 来 对 白 头 吟 。
"
172,modern2poem: 功 绩 告 成 之 后 不 自 行 隐 退 都 死 于 非 命 。,generated:,"功 成 不 退 皆 殒 身 。
"
173,modern2poem: 还 像 九 只 雏 凤 鸣 叫 啾 啾 啼 。,generated:,"九 雏 鸣 凤 乱 啾 啾 。
"
174,modern2poem: 漫 漫 长 夜 中 泛 流 着 琴 瑟 的 清 音 ；,generated:,"遥 夜 泛 清 瑟 ，
"
