,inputs,preds,golds
11,modern2poem: 唉 呀 ， 我 那 几 个 情 投 意 合 的 伙 伴 ， 怎 么 能 到 年 老 ， 还 不 再 返 回 故 乡 ？,generated:何 何 何 何 年 年 何 何 年?,"嗟 哉 吾 党 二 三 子 ， 安 得 至 老 不 更 归 。
"
12,modern2poem: 是 君 子 的 好 配 偶 。,generated:诗 是 君子 的好配偶 。,"君 子 好 逑 。
"
13,modern2poem: 什 么 时 候 能 够 再 举 杯 共 饮 ，,"generated:时 时 能, 酒,","几 时 杯 重 把 ，
"
14,modern2poem: 此 次 出 征 为 国 效 力 ， 本 来 就 打 算 马 革 裹 尸 ， 没 有 准 备 活 着 回 来 。,"generated:此 征 为 国 效, 本 来 打 马 革 裹 尸, 没 准 。","古 来 征 战 几 人 回 ？
"
15,modern2poem: 便 随 性 写 成 诗 一 首 来 记 录 感 想 ，,generated:随性 作 诗 一 来 记 感 想 。,"聊 书 所 怀 ，
"
16,modern2poem: 云 梦 大 泽 水 气 蒸 腾 白 白 茫 茫 ， 波 涛 汹 涌 似 乎 把 岳 阳 城 撼 动 。,"generated:云 梦 大 泽 水 蒸 白 茫, 波 浪 似 其 岳 阳 城 撼 。","气 蒸 云 梦 泽 ， 波 撼 岳 阳 城 。
"
17,modern2poem: 但 苍 翠 的 山 色 却 浓 得 仿 佛 就 要 润 湿 了 人 的 衣 裳 一 样 。,"generated:但 苍 翠 色 浓 佛, 润, 湿 人 。","空 翠 湿 人 衣 。
"
18,modern2poem: 看 到 这 种 情 景 我 很 伤 心 ，,generated:读 此 情 我 心 。,"感 此 伤 妾 心 ，
"
19,modern2poem: 多 少 画 家 画 出 的 都 与 原 貌 不 同 。,generated:多 少 画 出 不 同 原 。,"画 工 如 山 貌 不 同 。
"
20,modern2poem: 秋 风 吹 送 捣 衣 声 声 ， 家 家 怀 念 戍 边 之 人 。,"generated:秋 风 吹 衣 声, 家 怀 戍 边 人 。","秋 风 吹 不 尽 ， 总 是 玉 关 情 。
"
21,modern2poem: 色 彩 鲜 艳 红 似 火 。,generated:色 彩 鲜 艳 似 火 。,"灼 灼 其 华 。
"
22,modern2poem: 长 大 成 人 后 竟 然 意 外 相 逢 。,generated:长 大 成 人 后 竟 然 相 相 。,"长 大 一 相 逢 。
"
23,modern2poem: 但 是 这 些 又 怎 比 得 上 青 山 绿 水 的 道 路 上 ， 迎 面 飞 舞 而 来 的 花 瓣 呢 。,"generated:但 是 何 是 何 是 青 山 绿 水 路, 迎 飞 来 花?","何 如 山 水 路 ， 对 面 即 飞 花 。
"
24,modern2poem: 左 臂 挂 着 一 个 破 筐 。,generated:左臂 挂 一 破 筐 。,"左 臂 悬 敝 筐 。
"
25,modern2poem: 定 要 登 上 泰 山 顶 峰 ， 俯 瞰 群 山 ， 豪 情 满 怀 。,"generated:定 泰 山, 高, 。","会 当 凌 绝 顶 ， 一 览 众 山 小 。
"
26,modern2poem: 孩 子 提 壶 盛 满 水 汤 。,generated:子 提 壶 盛 水 汤 。,"童 稚 携 壶 浆 ，
"
27,modern2poem: 时 届 暮 春 白 雪 飘 飞 归 来 塞 外 ，,"generated:时 暮 春 白 飘 归,","三 春 白 雪 归 青 冢 ，
"
28,modern2poem: 天 色 阴 沉 ， 看 样 子 晚 上 即 将 要 下 雪 ， 能 否 留 下 与 我 共 饮 一 杯 ？,generated:色 阴 降 雪 能 留 与?,"晚 来 天 欲 雪 ，
"
29,modern2poem: 我 给 你 们 唱 一 首 歌 ，,"generated:诗 我 唱 一 歌,","与 君 歌 一 曲 ，
"
30,modern2poem: 人 生 中 多 少 次 伤 怀 往 事 ， 山 形 依 然 不 变 靠 着 寒 流 。,"generated:生 少 少 伤 往, 山 形 依 然 不 。","人 世 几 回 伤 往 事 ， 山 形 依 旧 枕 寒 流 。
"
31,modern2poem: 何 必 去 寻 找 世 外 的 仙 境 ，,generated:何必 去 寻 世 外 仙 。,"何 用 别 寻 方 外 去 ，
"
32,modern2poem: 我 担 忧 什 么 呢 ！,generated:忧虑什幺?,"吾 何 患 焉 ！
"
33,modern2poem: 希 望 能 随 着 风 一 直 陪 着 你 到 夜 郎 以 西 。,generated:希 望 能 随 风 一 陪 你 到 郎 以 西 。,"随 风 直 到 夜 郎 西 。
"
34,modern2poem: 放 牛 的 孩 子 横 坐 在 牛 背 上 ， 随 意 地 用 短 笛 吹 奏 着 不 成 调 的 的 乐 曲 。,generated:放牛 子 坐 牛 背 用 短 吹 不 成 乐 。,"牧 童 归 去 横 牛 背 ， 短 笛 无 腔 信 口 吹 。
"
35,modern2poem: 欲 走 还 留 之 间 ，,"generated:欲 走 留,","请 君 试 问 东 流 水 ，
"
36,modern2poem: 老 朋 友 向 我 频 频 挥 手 ， 告 别 了 黄 鹤 楼 ， 在 这 柳 絮 如 烟 、 繁 花 似 锦 的 阳 春 三 月 去 扬 州 远 游 。,"generated:老朋 友 向 我 频 频 挥, 在 柳 絮 如 烟, 盛 花 。","故 人 西 辞 黄 鹤 楼 ， 烟 花 三 月 下 扬 州 。
"
37,modern2poem: 胡 琴 琵 琶 羌 笛 合 奏 来 助 兴 。,generated:胡 琴 琵 琶 羌 笛 合 来 助 兴 。,"胡 琴 琵 琶 与 羌 笛 。
"
38,modern2poem: 天 地 之 间 有 一 股 堂 堂 正 气 ， 它 赋 予 万 物 而 变 化 为 各 种 体 形 。,"generated:天 地 有 一 堂 正, 赋 万, 变,, 。","天 地 有 正 气 ， 杂 然 赋 流 形 。
"
39,modern2poem: 白 雪 似 的 杨 花 飘 落 覆 盖 浮 萍 ，,"generated:白雪 似 杨 花 飘 覆 浮,","杨 花 雪 落 覆 白 苹 ，
"
40,modern2poem: 我 和 从 弟 在 南 斋 高 卧 的 时 候 ， 掀 开 窗 帘 玩 赏 那 初 升 的 玉 兔 。,generated:我 和 从 在 南 斋 高 卧 窗 玩 那 初 升 玉 兔 。,"高 卧 南 斋 时 ， 开 帷 月 初 吐 。
"
41,modern2poem: 日 暮 时 投 宿 石 壕 村 ， 夜 里 有 差 役 来 强 征 兵 。,"generated:日 暮 投 石, 夜 有 差 来 强 征 兵 。","暮 投 石 壕 村 ， 有 吏 夜 捉 人 。
"
42,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ，,generated:真诚 奉 我 朋 再 作 一 美 酒 。,"劝 君 更 尽 一 杯 酒 ，
"
43,modern2poem: 听 说 国 家 边 境 军 情 紧 急 ， 侵 略 者 一 次 又 一 次 进 犯 内 地 。,"generated:听 家 边 军 情 紧, 侵, 入, 。","边 城 多 警 急 ， 虏 骑 数 迁 移 。
"
44,modern2poem: 建 国 与 吴 魏 三 分 天 下 成 鼎 足 ，,generated:建 国 与 吴 魏 三 分 天 成 鼎 足 。,"势 分 三 足 鼎 ，
"
45,modern2poem: 中 央 主 峰 把 终 南 东 西 隔 开 ，,"generated:中 央 主 峰 把 终 南 西 隔,","分 野 中 峰 变 ，
"
46,modern2poem: 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,generated:向西 出 阳 就 难 以 故 亲 人 。,"西 出 阳 关 无 故 人 。
"
47,modern2poem: 争 着 将 往 日 的 情 谊 诉 说 。,generated:争 将 向 日 情 友 诉 。,"心 念 旧 恩 。
"
48,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ， 只 有 长 江 奔 流 从 古 到 今 。,"generated:感 伤 往 不 沮, 只 有 长 奔 从 古 到 今 。","惆 怅 南 朝 事 ， 长 江 独 至 今 。
"
49,modern2poem: 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,generated:水 浮 浮 一 船 划 痕 。,"浮 萍 一 道 开 。
"
50,modern2poem: 用 我 的 一 种 气 可 以 敌 过 那 七 种 气 ，,generated:用我的一种气 以敌 过 那七种气,"以 一 敌 七 ，
"
51,modern2poem: 一 座 高 桥 隔 着 云 烟 出 现 ， 在 岩 石 的 西 畔 询 问 渔 船 。,"generated:高 桥 隔 烟, 在 岩 石 西 问 渔 船 。","隐 隐 飞 桥 隔 野 烟 ， 石 矶 西 畔 问 渔 船 。
"
52,modern2poem: 轮 台 城 头 夜 里 吹 起 号 角 ，,"generated:轮 城 夜 吹 角,","轮 台 城 头 夜 吹 角 ，
"
53,modern2poem: 眼 下 我 心 情 不 佳 是 思 念 岳 阳 ，,generated:眼 我 心 不 是 思 岳 阳 。,"今 我 不 乐 思 岳 阳 ，
"
54,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ， 莲 叶 轻 摇 想 是 上 游 荡 下 轻 舟 。,"generated:竹 林 声 知 是 洗 姑 归, 莲 轻 想 是 上 游, 轻 舟 。","竹 喧 归 浣 女 ， 莲 动 下 渔 舟 。
"
55,modern2poem: 将 帅 们 坐 在 车 上 ， 士 兵 们 也 靠 它 隐 蔽 遮 挡 。,generated:将 帅 坐 士 兵 靠 。,"君 子 所 依 ， 小 人 所 腓 。
"
56,modern2poem: 参 差 不 齐 的 荇 菜 ，,generated:参 差 不 齐 荇 菜 。,"参 差 荇 菜 ，
"
57,modern2poem: 吐 蕃 族 至 今 牧 马 只 敢 远 望 ，,generated:吐 蕃 人 至 牧 马 只 敢 远 望 。,"至 今 窥 牧 马 ，
"
58,modern2poem: 不 然 就 会 步 陈 后 主 亡 国 后 尘 。,generated:不然 就 步 陈 后 主 亡 国 后 尘 。,"景 阳 宫 井 又 何 人 。
"
59,modern2poem: 老 夫 不 曾 为 客 扫 过 花 径 ， 今 天 才 为 您 扫 ， 这 柴 门 不 曾 为 客 开 过 ， 今 天 为 您 打 开 。,"generated:老 夫 不 为 客 花, 是 为, 柴 门 不 为 客 开,, 是 为 。","花 径 不 曾 缘 客 扫 ， 蓬 门 今 始 为 君 开 。
"
60,modern2poem: 当 你 怀 念 家 园 盼 归 之 日 ， 早 就 思 念 你 而 愁 肠 百 结 。,"generated:当你 怀念 家 园 盼 归, 早 思 念 肠 百 结 。","当 君 怀 归 日 ， 是 妾 断 肠 时 。
"
61,modern2poem: 年 年 战 死 的 尸 骨 埋 葬 于 荒 野 ，,generated:年 年 战 死 骨 葬 荒 野 。,"年 年 战 骨 埋 荒 外 ，
"
62,modern2poem: 喝 醉 酒 后 还 要 和 着 金 甲 跳 舞 ，,"generated:醉酒 酒 还 和, 金, 舞 。","醉 和 金 甲 舞 ，
"
63,modern2poem: 君 王 思 念 贵 妃 的 情 意 令 他 感 动 ， 于 是 道 士 尽 力 去 寻 找 贵 妃 的 魂 魄 。,"generated:君 王 思 贵 妃 情 意, 是 道, 竭 寻 贵 妃 魂 魄 。","为 感 君 王 辗 转 思 ， 遂 教 方 士 殷 勤 觅 。
"
64,modern2poem: 你 北 方 的 住 处 像 春 天 般 遥 远 ；,generated:北方 住 如 春 天 遥 。,"北 斗 兼 春 远 ，
"
65,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ，,generated:感 伤 南 朝 往 不 挫 。,"惆 怅 南 朝 事 ，
"
66,modern2poem: 织 女 正 摆 动 柔 长 洁 白 的 双 手 ，,generated:织 女 正 摆 柔 洁 白 双 手 。,"纤 纤 擢 素 手 ，
"
67,modern2poem: 一 行 秋 雁 高 高 地 掠 过 了 星 空 ，,generated:秋 雁 高 地 掠 星 空 。,"星 河 秋 一 雁 ，
"
68,modern2poem: 长 信 宫 中 惟 有 秋 月 尚 明 ， 昭 阳 殿 下 响 起 捣 衣 声 声 。,generated:长 信 宫 惟 有 秋 月 尚 明 殿 下 响 捣 衣 声 。,"长 信 宫 中 秋 月 明 ， 昭 阳 殿 下 捣 衣 声 。
"
69,modern2poem: 荒 诞 之 事 却 为 人 们 追 逐 。,generated:荒诞之事 却 为 人 追 。,"妄 迹 世 所 逐 。
"
70,modern2poem: 真 可 怜 呵 那 无 定 河 边 成 堆 的 白 骨 ， 还 是 少 妇 们 梦 中 相 依 相 伴 的 丈 夫 。,"generated:真 可 怜 那 无 河 边 成 白, 是 少 妇 梦 相 相 。","可 怜 无 定 河 边 骨 ， 犹 是 春 闺 梦 里 人 ！
"
71,modern2poem: 万 里 晴 空 ， 一 只 鹤 凌 云 飞 起 ， 就 引 发 我 的 诗 兴 到 了 蓝 天 上 了 。,"generated:万 晴 空 一 鹤 云 飞, 兴 蓝 天 。","晴 空 一 鹤 排 云 上 ， 便 引 诗 情 到 碧 霄 。
"
72,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ，,generated:竹 林 声 知 是 洗 姑 归 。,"竹 喧 归 浣 女 ，
"
73,modern2poem: 停 住 马 饮 酒 询 问 被 贬 的 去 处 。,generated:停 马 饮 酒 问 被 贬 去 。,"驻 马 衔 杯 问 谪 居 。
"
74,modern2poem: 他 不 知 道 怎 么 掩 藏 踪 迹 ， 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,"generated:不 知 何 隐, 浮,,,,, 。","不 解 藏 踪 迹 ， 浮 萍 一 道 开 。
"
75,modern2poem: 经 过 了 近 十 年 的 战 乱 流 离 ， 长 大 成 人 后 竟 然 意 外 相 逢 。,"generated:经 近 十 年 战 乱 流, 长 成 人 后 竟 相 。","十 年 离 乱 后 ， 长 大 一 相 逢 。
"
76,modern2poem: 只 恨 春 宵 太 短 一 觉 就 睡 到 太 阳 高 高 升 起 ，,"generated:只恨春宵太 短 一 睡 太 高 升,","春 宵 苦 短 日 高 起 ，
"
77,modern2poem: 我 虽 然 胸 怀 匡 国 之 志 ， 也 有 郭 元 振 《 宝 剑 篇 》 那 样 充 满 豪 气 的 诗 篇 ， 但 却 不 遇 明 主 ， 长 期 羁 旅 在 外 虚 度 华 年 。,"generated:我 然 胸 怀 匡 国 志 那 充 盛 豪, 但 不 见 明, 长 羁, 虚 。","凄 凉 宝 剑 篇 ， 羁 泊 欲 穷 年 。
"
78,modern2poem: 刚 刚 反 复 吟 诵 你 送 我 的 佳 句 ， 不 觉 乌 鸦 呱 呱 啼 叫 天 已 渐 亮 。,"generated:刚 复 吟 你 送 佳, 不 觉 乌 啼 天 已 渐 。","向 来 吟 秀 句 ， 不 觉 已 鸣 鸦 。
"
79,modern2poem: 杨 家 门 户 生 光 彩 令 人 羡 慕 又 向 往 。,generated:家 户 生 光 令 人 羡 又 向 。,"可 怜 光 彩 生 门 户 。
"
80,modern2poem: 曾 经 为 我 设 计 挖 掘 石 鼓 坑 窝 。,generated:曾经 为 我 设 计 挖 石 鼓 窝 。,"为 我 度 量 掘 臼 科 。
"
81,modern2poem: 奏 起 琴 瑟 来 亲 近 她 。,generated:奏起琴 瑟 来 亲 她,"琴 瑟 友 之 。
"
82,modern2poem: 下 看 飞 鸟 屈 指 可 数 ，,generated:见 飞 鸟 屈 可 数 。,"下 窥 指 高 鸟 ，
"
83,modern2poem: 难 道 丹 桔 就 不 成 阴 ？,generated:难道 丹 桔 就 不 阴?,"此 木 岂 无 阴 ？
"
84,modern2poem: 老 牛 和 骏 马 被 关 在 一 起 共 用 一 槽 ，,"generated:老牛 骏 马 被 关 一,","牛 骥 同 一 皂 ，
"
85,modern2poem: 只 有 狂 雷 炸 响 般 的 巨 大 力 量 才 能 使 中 国 大 地 发 出 勃 勃 生 机 ，,generated:狂 雷 响 大 量 能 使 大 地 发 勃 生 机 。,"九 州 生 气 恃 风 雷 ，
"
86,modern2poem: 傍 晚 辕 门 前 大 雪 落 个 不 停 ，,"generated:傍 晚 辕 前 大 雪 不,","纷 纷 暮 雪 下 辕 门 ，
"
87,modern2poem: 彼 此 久 别 重 逢 谈 心 宴 饮 ，,generated:此 久 别 重 逢 谈 心 宴 饮 。,"契 阔 谈 讌 ，
"
88,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ， 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,"generated:真诚 奉 我 朋 再 作 一 美 酒, 向 西 难 以 遇 故 亲 人 。","劝 君 更 尽 一 杯 酒 ， 西 出 阳 关 无 故 人 。
"
89,modern2poem: 新 年 来 临 思 乡 之 心 更 切 ， 独 立 天 边 不 禁 热 泪 横 流 。,generated:年 来 思 乡 更 切 天 不 热 横 流 。,"乡 心 新 岁 切 ， 天 畔 独 潸 然 。
"
90,modern2poem: 为 国 家 解 危 难 奋 勇 献 身 ，,generated:国 家 解 难 奋 献 身 。,"捐 躯 赴 国 难 ，
"
91,modern2poem: 君 臣 共 同 享 受 着 礼 仪 和 祭 礼 。,generated:君 臣 同 享 礼 仪 礼 。,"一 体 君 臣 祭 祀 同 。
"
92,modern2poem: 它 赋 予 万 物 而 变 化 为 各 种 体 形 。,"generated:诗 赋 万, 变,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","杂 然 赋 流 形 。
"
93,modern2poem: 豆 苗 采 了 又 采 ， 薇 菜 的 茎 叶 变 老 了 。,generated:采 薇 采 薇 薇 叶 变 老 。,"采 薇 采 薇 ， 薇 亦 刚 止 。
"
94,modern2poem: 佛 经 真 谛 世 人 并 无 领 悟 ，,generated:经 真 世 人 无 领 悟 。,"真 源 了 无 取 ，
"
95,modern2poem: 微 风 吹 拂 着 江 岸 的 细 草 ， 那 立 着 高 高 桅 杆 的 小 船 在 夜 里 孤 零 地 停 泊 着 。,generated:风 吹 河 岸 深 桅 小 船 在 夜 孤 零 。,"细 草 微 风 岸 ， 危 樯 独 夜 舟 。
"
96,modern2poem: 昭 阳 殿 里 的 姻 缘 早 已 隔 断 ， 蓬 莱 宫 中 的 孤 寂 时 间 还 很 漫 长 。,"generated:昭 阳 殿 姻 早 已 隔, 蓬 莱 宫 孤 时 是 漫 长 。","昭 阳 殿 里 恩 爱 绝 ， 蓬 莱 宫 中 日 月 长 。
"
97,modern2poem: 丁 大 约 定 今 晚 来 寺 住 宿 ，,"generated:丁 大 约 定 今 晚 寺 住,","之 子 期 宿 来 ，
"
98,modern2poem: 他 的 琴 声 一 响 万 物 寂 静 ，,generated:琴 声 一 万 静 。,"一 声 已 动 物 皆 静 ，
"
99,modern2poem: 山 与 天 相 接 的 地 方 缭 绕 着 阵 阵 云 烟 ， 从 竹 林 的 缝 隙 里 看 洒 落 下 余 晖 的 夕 阳 。,"generated:山 相 地 方 云, 竹 林 缝 见 余 夕 。","山 际 见 来 烟 ， 竹 中 窥 落 日 。
"
100,modern2poem: 让 我 们 共 同 在 这 烛 光 下 叙 谈 。,generated:使我 同 在 烛 光 叙 。,"共 此 灯 烛 光 。
"
101,modern2poem: 古 庙 里 杉 松 树 上 水 鹤 做 了 巢 ，,generated:古 庙 杉 树 上 水 鹤 作 巢 。,"古 庙 杉 松 巢 水 鹤 ，
"
102,modern2poem: 里 面 有 虢 国 和 秦 国 二 位 夫 人 。,generated:里 面 有 虢 国 和 秦 二 夫 人 。,"赐 名 大 国 虢 与 秦 。
"
103,modern2poem: 阵 阵 霉 味 逼 人 ，,generated:阵 阵 霉 味 逼 人 。,"陈 陈 逼 人 ，
"
104,modern2poem: 车 辆 隆 隆 响 ， 战 马 萧 萧 鸣 ， 出 征 士 兵 弓 箭 各 自 佩 在 腰 。,"generated:车 车 隆 鸣, 征 士 兵 弓 箭 各 佩 。","车 辚 辚 ， 马 萧 萧 ， 行 人 弓 箭 各 在 腰 。
"
105,modern2poem: 井 畔 梧 桐 在 秋 夜 的 风 中 抖 动 ，,"generated:井 梧 桐 在 秋 夜, 抖,","清 秋 幕 府 井 梧 寒 ，
"
106,modern2poem: 心 明 无 须 恃 荣 宠 。,generated:心明 无 须 荣 。,"临 宠 不 忒 。
"
107,modern2poem: 秋 日 青 枫 江 上 孤 帆 远 远 飘 去 ，,generated:秋 青 枫 江 孤 远 飘 。,"青 枫 江 上 秋 帆 远 ，
"
108,modern2poem: 夜 里 吹 来 暖 暖 南 风 ，,"generated:夜 吹 南 风,","夜 来 南 风 起 ，
"
109,modern2poem: 为 什 么 要 隐 居 清 高 自 比 云 月 ？,generated:为什幺 隐 居 清 高 云?,"何 用 孤 高 比 云 月 ？
"
110,modern2poem: 流 放 岭 南 与 亲 人 断 绝 了 音 信 ， 熬 过 了 冬 天 又 经 历 一 个 新 春 。,generated:流 岭 南 亲 断 音 信 熬 年 一 春 。,"岭 外 音 书 断 ， 经 冬 复 历 春 。
"
111,modern2poem: 她 说 ： “ 我 是 公 孙 大 娘 的 学 生 ” 。,"generated:诗 说 : “ 我 是 公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","曰 ： “ 余 公 孙 大 娘 弟 子 也 。
"
112,modern2poem: 急 取 灯 火 瞧 仔 细 。,generated:急 取 灯 火 见 细 。,"遽 而 求 火 。
"
113,modern2poem: 人 生 中 多 少 次 伤 怀 往 事 ，,generated:人 生 少 次 伤 往 。,"人 世 几 回 伤 往 事 ，
"
114,modern2poem: 他 们 再 不 敢 南 来 越 过 临 洮 。,generated:他 们 再 不 敢 南 来 越 临 洮 。,"不 敢 过 临 洮 。
"
115,modern2poem: 生 时 应 当 做 人 中 豪 杰 ， 死 后 也 要 做 鬼 中 英 雄 。,"generated:生 时 作 人 豪, 死 也 作 鬼 英 雄 。","生 当 作 人 杰 ， 死 亦 为 鬼 雄 。
"
116,modern2poem: 借 问 当 地 之 人 何 处 买 酒 浇 愁 ？,generated:借 问 当 人 何 买 酒 浇?,"借 问 酒 家 何 处 有 ，
"
117,modern2poem: 我 在 南 山 下 种 植 豆 子 ，,generated:南 山 下 种 豆 。,"种 豆 南 山 下 ，
"
118,modern2poem: 春 风 吹 开 桃 李 花 物 是 人 非 不 胜 悲 ， 秋 雨 滴 落 梧 桐 叶 场 面 寂 寞 更 惨 凄 。,generated:春 风 开 桃 李 花 是 人 非 不 悲 秋 雨 落 梧 树 场 寂 更 凄 。,"春 风 桃 李 花 开 日 ， 秋 雨 梧 桐 叶 落 时 。
"
119,modern2poem: 山 月 高 照 正 好 弄 弦 弹 琴 。,generated:月 照 正 作 弦 弹 琴 。,"山 月 照 弹 琴 。
"
120,modern2poem: 在 世 上 活 着 贵 在 韬 光 养 晦 ，,generated:在世 活 在 韬 光 养 晦 。,"含 光 混 世 贵 无 名 ，
"
121,modern2poem: 鸿 鹄 已 高 飞 远 空 在 日 月 之 间 ， 青 枫 树 叶 已 变 红 秋 霜 已 下 降 。,"generated:鸿 鹄 远 月, 青 枫 叶 已 变 秋 霜 已 降 。","鸿 飞 冥 冥 日 月 白 ， 青 枫 叶 赤 天 雨 霜 。
"
122,modern2poem: 各 自 畅 饮 悲 欢 。,generated:各 饮 悲 。,"别 意 与 之 谁 短 长 。
"
123,modern2poem: 有 人 在 屋 檐 下 烧 柴 火 做 饭 ，,generated:有人 在 屋 檐 烧 柴 作 饭 。,"檐 阴 薪 爨 ，
"
124,modern2poem: 山 与 天 相 接 的 地 方 缭 绕 着 阵 阵 云 烟 ，,generated:山 相 天 方 云 烟 。,"山 际 见 来 烟 ，
"
125,modern2poem: 树 皮 洁 白 润 滑 树 干 有 四 十 围 ，,generated:树 皮 洁 白 润 树 有 四 十 围 。,"霜 皮 溜 雨 四 十 围 ，
"
126,modern2poem: 黄 云 海 戍 迷 离 不 见 。,generated:云 海 戍 不 见 。,"黄 云 海 戍 迷 。
"
127,modern2poem: 这 里 就 是 历 代 征 战 之 地 ，,generated:此 里 是 历 代 征 战 。,"由 来 征 战 地 ，
"
128,modern2poem: 湖 中 的 蛟 龙 出 没 猩 鼯 哀 号 。,generated:湖 蛟 龙 出 猩 哀 号 。,"蛟 龙 出 没 猩 鼯 号 。
"
129,modern2poem: 山 形 依 然 不 变 靠 着 寒 流 。,generated:山 形 依 然 不 以 寒 。,"山 形 依 旧 枕 寒 流 。
"
130,modern2poem: 北 归 大 雁 正 翱 翔 云 天 。,generated:北归 大 雁 正 翱 云 天 。,"归 雁 入 胡 天 。
"
131,modern2poem: 可 惜 的 是 春 天 已 过 了 一 半 自 己 却 还 不 能 回 家 。,generated:悲 春 天 终 其 其 不 归 。,"可 怜 春 半 不 还 家 。
"
132,modern2poem: 黄 昏 时 来 到 空 潭 隐 蔽 之 地 ，,generated:黄昏 时 空 潭 隐 。,"薄 暮 空 潭 曲 ，
"
133,modern2poem: 望 你 孝 敬 长 辈 遵 守 妇 道 ，,generated:孝 孝 长 守 妇 道 。,"孝 恭 遵 妇 道 ，
"
134,modern2poem: 在 山 林 中 隐 居 了 二 十 年 。,generated:在山 林 隐 在 二 十 年,"山 林 二 十 年 。
"
135,modern2poem: 周 朝 政 治 衰 败 全 国 动 荡 不 安 ，,generated:周 朝 政 衰 全 国 动 不 安 。,"周 纲 凌 迟 四 海 沸 ，
"
136,modern2poem: 那 黄 河 之 水 犹 如 从 天 上 倾 泻 而 来 ，,"generated:那 河 水 如 从 天,","黄 河 之 水 天 上 来 ，
"
137,modern2poem: 近 处 松 州 一 带 也 还 驻 扎 着 朝 廷 的 军 队 。,generated:近 松 一 也 驻 朝 廷 軍 。,"松 州 犹 驻 殿 前 军 。
"
138,modern2poem: 从 山 下 走 上 去 足 有 三 十 里 。,generated:山 下 去 足 三 十 里 。,"直 上 三 十 里 。
"
139,modern2poem: 丞 相 的 祠 庙 就 在 先 王 庙 临 近 ，,generated:丞相 祠 就 先 王 庙 临 。,"武 侯 祠 堂 常 邻 近 ，
"
