,inputs,preds,golds
13,modern2poem: 什 么 时 候 能 够 再 举 杯 共 饮 ，,"generated:When, When, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can, Can","几 时 杯 重 把 ，
"
14,modern2poem: 此 次 出 征 为 国 效 力 ， 本 来 就 打 算 马 革 裹 尸 ， 没 有 准 备 活 着 回 来 。,"generated:此 出 征 為 国 效 力,本 来 就 打 算 馬 革 裹 尸,没 有 准 備 活 着 回 来.","古 来 征 战 几 人 回 ？
"
15,modern2poem: 便 随 性 写 成 诗 一 首 来 记 录 感 想 ，,generated:詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩 詩,"聊 书 所 怀 ，
"
16,modern2poem: 云 梦 大 泽 水 气 蒸 腾 白 白 茫 茫 ， 波 涛 汹 涌 似 乎 把 岳 阳 城 撼 动 。,"generated:雲梦大泽 水气蒸腾 白白 茫 茫, 波涛汹涌 似乎 把 岳 陽 城 撼 动.","气 蒸 云 梦 泽 ， 波 撼 岳 阳 城 。
"
17,modern2poem: 但 苍 翠 的 山 色 却 浓 得 仿 佛 就 要 润 湿 了 人 的 衣 裳 一 样 。,"generated:However, a splendid mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain, a thick mountain","空 翠 湿 人 衣 。
"
18,modern2poem: 看 到 这 种 情 景 我 很 伤 心 ，,"generated:When I see this scene, I feel very sad.","感 此 伤 妾 心 ，
"
19,modern2poem: 多 少 画 家 画 出 的 都 与 原 貌 不 同 。,"generated:Compositions written by a few artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists, artists","画 工 如 山 貌 不 同 。
"
20,modern2poem: 秋 风 吹 送 捣 衣 声 声 ， 家 家 怀 念 戍 边 之 人 。,"generated:秋风吹 送 捣 衣 声 声, 家 家 怀 念 戍 边 の 人.","秋 风 吹 不 尽 ， 总 是 玉 关 情 。
"
21,modern2poem: 色 彩 鲜 艳 红 似 火 。,generated:Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of,"灼 灼 其 华 。
"
22,modern2poem: 长 大 成 人 后 竟 然 意 外 相 逢 。,"generated:When they meet, they meet.","长 大 一 相 逢 。
"
23,modern2poem: 但 是 这 些 又 怎 比 得 上 青 山 绿 水 的 道 路 上 ， 迎 面 飞 舞 而 来 的 花 瓣 呢 。,"generated:However, these are these and how do they be higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher, higher,","何 如 山 水 路 ， 对 面 即 飞 花 。
"
24,modern2poem: 左 臂 挂 着 一 个 破 筐 。,generated:Left arm hanging on a broken basket.,"左 臂 悬 敝 筐 。
"
25,modern2poem: 定 要 登 上 泰 山 顶 峰 ， 俯 瞰 群 山 ， 豪 情 满 怀 。,generated:定 要 登 上 泰 山 頂 峰 俯 瞰 群 山 豪 情 満 怀,"会 当 凌 绝 顶 ， 一 览 众 山 小 。
"
26,modern2poem: 孩 子 提 壶 盛 满 水 汤 。,"generated:Compositions by composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer, composer","童 稚 携 壶 浆 ，
"
27,modern2poem: 时 届 暮 春 白 雪 飘 飞 归 来 塞 外 ，,"generated:時 届 暮 春 白雪 飘 飞 归 來 塞 外,","三 春 白 雪 归 青 冢 ，
"
28,modern2poem: 天 色 阴 沉 ， 看 样 子 晚 上 即 将 要 下 雪 ， 能 否 留 下 与 我 共 饮 一 杯 ？,generated:♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫,"晚 来 天 欲 雪 ，
"
29,modern2poem: 我 给 你 们 唱 一 首 歌 ，,"generated:I give you a song,","与 君 歌 一 曲 ，
"
30,modern2poem: 人 生 中 多 少 次 伤 怀 往 事 ， 山 形 依 然 不 变 靠 着 寒 流 。,"generated:人 生 中 多 少 次 伤 怀 往 事, 山 形 依 然 不 変 靠 着 寒 流。","人 世 几 回 伤 往 事 ， 山 形 依 旧 枕 寒 流 。
"
31,modern2poem: 何 必 去 寻 找 世 外 的 仙 境 ，,"generated:Where the heavens are,","何 用 别 寻 方 外 去 ，
"
32,modern2poem: 我 担 忧 什 么 呢 ！,generated:I worry what?,"吾 何 患 焉 ！
"
33,modern2poem: 希 望 能 随 着 风 一 直 陪 着 你 到 夜 郎 以 西 。,generated:Wish Wish Can Follow the Wind Straight Wish You To Night 郎以西,"随 风 直 到 夜 郎 西 。
"
34,modern2poem: 放 牛 的 孩 子 横 坐 在 牛 背 上 ， 随 意 地 用 短 笛 吹 奏 着 不 成 调 的 的 乐 曲 。,"generated:Compositions by a songwriter, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer, a singer","牧 童 归 去 横 牛 背 ， 短 笛 无 腔 信 口 吹 。
"
35,modern2poem: 欲 走 还 留 之 间 ，,"generated:Where I Go, Where I Stay,","请 君 试 问 东 流 水 ，
"
36,modern2poem: 老 朋 友 向 我 频 频 挥 手 ， 告 别 了 黄 鹤 楼 ， 在 这 柳 絮 如 烟 、 繁 花 似 锦 的 阳 春 三 月 去 扬 州 远 游 。,generated:Ōtomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo Tomotomo,"故 人 西 辞 黄 鹤 楼 ， 烟 花 三 月 下 扬 州 。
"
37,modern2poem: 胡 琴 琵 琶 羌 笛 合 奏 来 助 兴 。,"generated:Compositions by Felix Ernst, Duke of Bavaria.","胡 琴 琵 琶 与 羌 笛 。
"
38,modern2poem: 天 地 之 间 有 一 股 堂 堂 正 气 ， 它 赋 予 万 物 而 变 化 为 各 种 体 形 。,generated:天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地 天地,"天 地 有 正 气 ， 杂 然 赋 流 形 。
"
39,modern2poem: 白 雪 似 的 杨 花 飘 落 覆 盖 浮 萍 ，,"generated:Compositions by Felix Ritter, Duke of Bavaria","杨 花 雪 落 覆 白 苹 ，
"
40,modern2poem: 我 和 从 弟 在 南 斋 高 卧 的 时 候 ， 掀 开 窗 帘 玩 赏 那 初 升 的 玉 兔 。,"generated:I and from the brother in the South 斋 高 臥 の 時, 掀 开 窗 帘 玩 赏 那 初 升 の 玉 兔.","高 卧 南 斋 时 ， 开 帷 月 初 吐 。
"
41,modern2poem: 日 暮 时 投 宿 石 壕 村 ， 夜 里 有 差 役 来 强 征 兵 。,generated:Hours of a while a sleeping shelter a stone 壕 a village a night a disturbing officer a strong soldier.,"暮 投 石 壕 村 ， 有 吏 夜 捉 人 。
"
42,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ，,"generated:Faithful, sincere, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, compassionate, com","劝 君 更 尽 一 杯 酒 ，
"
43,modern2poem: 听 说 国 家 边 境 军 情 紧 急 ， 侵 略 者 一 次 又 一 次 进 犯 内 地 。,"generated:Listen to the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states, the states,","边 城 多 警 急 ， 虏 骑 数 迁 移 。
"
44,modern2poem: 建 国 与 吴 魏 三 分 天 下 成 鼎 足 ，,"generated:建国 與 吴 魏 三 分 天 下 成 鼎 足,","势 分 三 足 鼎 ，
"
45,modern2poem: 中 央 主 峰 把 终 南 东 西 隔 开 ，,generated:Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of,"分 野 中 峰 变 ，
"
46,modern2poem: 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,generated:Where the West Comes Out Where the Sun Comes Out Where the Old Family Comes Out,"西 出 阳 关 无 故 人 。
"
47,modern2poem: 争 着 将 往 日 的 情 谊 诉 说 。,generated:Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of the Romance of,"心 念 旧 恩 。
"
48,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ， 只 有 长 江 奔 流 从 古 到 今 。,"generated:Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings, Feelings","惆 怅 南 朝 事 ， 长 江 独 至 今 。
"
49,modern2poem: 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,"generated:Surface of the water, the floating pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining pine, the remaining","浮 萍 一 道 开 。
"
50,modern2poem: 用 我 的 一 种 气 可 以 敌 过 那 七 种 气 ，,generated:The seven types of air that I have could be a threat to overcome.,"以 一 敌 七 ，
"
51,modern2poem: 一 座 高 桥 隔 着 云 烟 出 现 ， 在 岩 石 的 西 畔 询 问 渔 船 。,"generated:Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka, Ōsaka","隐 隐 飞 桥 隔 野 烟 ， 石 矶 西 畔 问 渔 船 。
"
52,modern2poem: 轮 台 城 头 夜 里 吹 起 号 角 ，,"generated:Roller tower City Head Night tower Blow a corner,","轮 台 城 头 夜 吹 角 ，
"
53,modern2poem: 眼 下 我 心 情 不 佳 是 思 念 岳 阳 ，,generated:Looking down I Heart Heart Feel Good Is Thinking Looking down Yue Yang,"今 我 不 乐 思 岳 阳 ，
"
54,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ， 莲 叶 轻 摇 想 是 上 游 荡 下 轻 舟 。,"generated:竹 林 喧 响 知 是 洗 衣 姑 娘 归 来, 莲 葉 轻 摇 想 是 上 游 荡 下 轻 舟.","竹 喧 归 浣 女 ， 莲 动 下 渔 舟 。
"
55,modern2poem: 将 帅 们 坐 在 车 上 ， 士 兵 们 也 靠 它 隐 蔽 遮 挡 。,"generated:They sit on the car, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they stood on it, they s","君 子 所 依 ， 小 人 所 腓 。
"
56,modern2poem: 参 差 不 齐 的 荇 菜 ，,generated:Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of the Compositions of,"参 差 荇 菜 ，
"
57,modern2poem: 吐 蕃 族 至 今 牧 马 只 敢 远 望 ，,generated:ỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻỻ��,"至 今 窥 牧 马 ，
"
58,modern2poem: 不 然 就 会 步 陈 后 主 亡 国 后 尘 。,generated:不 然 就 会 步 陈 後 主 亡 国 後 尘.,"景 阳 宫 井 又 何 人 。
"
59,modern2poem: 老 夫 不 曾 为 客 扫 过 花 径 ， 今 天 才 为 您 扫 ， 这 柴 门 不 曾 为 客 开 过 ， 今 天 为 您 打 开 。,"generated:Once Upon a Time, the servant does not smoke for the guest, because they smoke for the guest, because they smoke for the guest.","花 径 不 曾 缘 客 扫 ， 蓬 门 今 始 为 君 开 。
"
60,modern2poem: 当 你 怀 念 家 园 盼 归 之 日 ， 早 就 思 念 你 而 愁 肠 百 结 。,"generated:When You Remember Home Garden Wait for the Day, When You Remember You and Why The Breads","当 君 怀 归 日 ， 是 妾 断 肠 时 。
"
61,modern2poem: 年 年 战 死 的 尸 骨 埋 葬 于 荒 野 ，,"generated:Year Year Battle Death 屍 骨 埋葬 荒野,","年 年 战 骨 埋 荒 外 ，
"
62,modern2poem: 喝 醉 酒 后 还 要 和 着 金 甲 跳 舞 ，,"generated:Alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drinks, alcoholic drink","醉 和 金 甲 舞 ，
"
63,modern2poem: 君 王 思 念 贵 妃 的 情 意 令 他 感 动 ， 于 是 道 士 尽 力 去 寻 找 贵 妃 的 魂 魄 。,generated:Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi Ōmi,"为 感 君 王 辗 转 思 ， 遂 教 方 士 殷 勤 觅 。
"
64,modern2poem: 你 北 方 的 住 处 像 春 天 般 遥 远 ；,"generated:Northern places of residence Like Spring, Sky, Far, Far,","北 斗 兼 春 远 ，
"
65,modern2poem: 感 伤 南 朝 往 事 不 胜 惆 怅 ，,"generated:感 伤 南朝 往 事 不 胜 沮 嘆,","惆 怅 南 朝 事 ，
"
66,modern2poem: 织 女 正 摆 动 柔 长 洁 白 的 双 手 ，,"generated:Compositions of the female female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female, female","纤 纤 擢 素 手 ，
"
67,modern2poem: 一 行 秋 雁 高 高 地 掠 过 了 星 空 ，,generated:A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey A Journey,"星 河 秋 一 雁 ，
"
68,modern2poem: 长 信 宫 中 惟 有 秋 月 尚 明 ， 昭 阳 殿 下 响 起 捣 衣 声 声 。,generated:Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no Shin Ōmi no,"长 信 宫 中 秋 月 明 ， 昭 阳 殿 下 捣 衣 声 。
"
69,modern2poem: 荒 诞 之 事 却 为 人 们 追 逐 。,generated:荒诞 之 事 でも よ ん と を追 っ ん,"妄 迹 世 所 逐 。
"
70,modern2poem: 真 可 怜 呵 那 无 定 河 边 成 堆 的 白 骨 ， 还 是 少 妇 们 梦 中 相 依 相 伴 的 丈 夫 。,generated:Ō no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no ka o no,"可 怜 无 定 河 边 骨 ， 犹 是 春 闺 梦 里 人 ！
"
71,modern2poem: 万 里 晴 空 ， 一 只 鹤 凌 云 飞 起 ， 就 引 发 我 的 诗 兴 到 了 蓝 天 上 了 。,generated:♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫ ♫,"晴 空 一 鹤 排 云 上 ， 便 引 诗 情 到 碧 霄 。
"
72,modern2poem: 竹 林 喧 响 知 是 洗 衣 姑 娘 归 来 ，,"generated:竹 林 喧 响 知 是 洗 衣 姑 娘 帰 来,","竹 喧 归 浣 女 ，
"
73,modern2poem: 停 住 马 饮 酒 询 问 被 贬 的 去 处 。,"generated:Pause, swallow, drink, query, question, derogatory, leave.","驻 马 衔 杯 问 谪 居 。
"
74,modern2poem: 他 不 知 道 怎 么 掩 藏 踪 迹 ， 水 面 的 浮 萍 上 留 下 了 一 条 船 儿 划 过 的 痕 迹 。,"generated:Where they are, they are a skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton of the skeleton","不 解 藏 踪 迹 ， 浮 萍 一 道 开 。
"
75,modern2poem: 经 过 了 近 十 年 的 战 乱 流 离 ， 长 大 成 人 后 竟 然 意 外 相 逢 。,"generated:Through the decade of war, chaos, riot, rising, rising, and coming together.","十 年 离 乱 后 ， 长 大 一 相 逢 。
"
76,modern2poem: 只 恨 春 宵 太 短 一 觉 就 睡 到 太 阳 高 高 升 起 ，,"generated:只恨春宵太短 一觉就睡到太阳 高高升起,","春 宵 苦 短 日 高 起 ，
"
77,modern2poem: 我 虽 然 胸 怀 匡 国 之 志 ， 也 有 郭 元 振 《 宝 剑 篇 》 那 样 充 满 豪 气 的 诗 篇 ， 但 却 不 遇 明 主 ， 长 期 羁 旅 在 外 虚 度 华 年 。,"generated:我 虽 然 胸 怀 匡國之志 也 有 郭元振 『宝剑篇』 那 充 満 豪气 の詩篇, 但 却 不 遇 明 主, 長 期 羁 旅 在 外 虚 度 華 年.","凄 凉 宝 剑 篇 ， 羁 泊 欲 穷 年 。
"
78,modern2poem: 刚 刚 反 复 吟 诵 你 送 我 的 佳 句 ， 不 觉 乌 鸦 呱 呱 啼 叫 天 已 渐 亮 。,"generated:Once Upon a Time, I'm a Wonderful Man.","向 来 吟 秀 句 ， 不 觉 已 鸣 鸦 。
"
79,modern2poem: 杨 家 门 户 生 光 彩 令 人 羡 慕 又 向 往 。,generated:楊家門户生光彩令人羡慕慕又向往。,"可 怜 光 彩 生 门 户 。
"
80,modern2poem: 曾 经 为 我 设 计 挖 掘 石 鼓 坑 窝 。,generated:曾经 為 我 設 计 挖 掘 石 鼓 坑 窝.,"为 我 度 量 掘 臼 科 。
"
81,modern2poem: 奏 起 琴 瑟 来 亲 近 她 。,generated:Compositions by composer,"琴 瑟 友 之 。
"
82,modern2poem: 下 看 飞 鸟 屈 指 可 数 ，,generated:Compositions by composer,"下 窥 指 高 鸟 ，
"
83,modern2poem: 难 道 丹 桔 就 不 成 阴 ？,generated:Why does Dan 桔子 become a shadow?,"此 木 岂 无 阴 ？
"
84,modern2poem: 老 牛 和 骏 马 被 关 在 一 起 共 用 一 槽 ，,generated:Poor cow and gentle horse are locked in one row together in one urn.,"牛 骥 同 一 皂 ，
"
85,modern2poem: 只 有 狂 雷 炸 响 般 的 巨 大 力 量 才 能 使 中 国 大 地 发 出 勃 勃 生 机 ，,"generated:Nothing could be a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunderstorm, a thunder","九 州 生 气 恃 风 雷 ，
"
86,modern2poem: 傍 晚 辕 门 前 大 雪 落 个 不 停 ，,"generated:傍晚 辕门前 大雪 落 個 不 停,","纷 纷 暮 雪 下 辕 门 ，
"
87,modern2poem: 彼 此 久 别 重 逢 谈 心 宴 饮 ，,"generated:彼 此 久 别 重逢 谈心 宴 饮,","契 阔 谈 讌 ，
"
88,modern2poem: 真 诚 地 奉 劝 我 的 朋 友 再 干 一 杯 美 酒 ， 向 西 出 了 阳 关 就 难 以 遇 到 故 旧 亲 人 。,"generated:Faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful, faithful","劝 君 更 尽 一 杯 酒 ， 西 出 阳 关 无 故 人 。
"
89,modern2poem: 新 年 来 临 思 乡 之 心 更 切 ， 独 立 天 边 不 禁 热 泪 横 流 。,generated:Nueva l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour à la vie l'Amour,"乡 心 新 岁 切 ， 天 畔 独 潸 然 。
"
90,modern2poem: 为 国 家 解 危 难 奋 勇 献 身 ，,generated:为国 家 解 危 难 奋 勇 献 身,"捐 躯 赴 国 难 ，
"
